#{"t_start": 1513017049.5661476, "env_id": "PongNoFrameskip-v4", "gym_version": "0.9.2"}
r,l,t
-21.0,845,7.811467
-20.0,1039,12.839398
-21.0,881,17.077392
-18.0,1174,22.77612
-20.0,982,27.509139
-19.0,1046,32.658801
-21.0,761,36.380236
-21.0,845,40.462927
-21.0,808,44.340831
-18.0,1172,49.991009
-20.0,903,54.33095
-21.0,836,58.357004
-20.0,927,62.821487
-20.0,990,67.581942
-20.0,867,71.770039
-21.0,924,76.211232
-21.0,824,80.210338
-20.0,1027,85.157923
-19.0,1091,90.409381
-19.0,974,95.113801
-21.0,895,99.42251
-19.0,1010,104.316321
-21.0,824,108.286493
-21.0,845,112.357776
-21.0,851,116.452446
-21.0,788,120.25334
-20.0,958,124.856097
-20.0,1036,129.848683
-21.0,787,133.643201
-21.0,760,137.308085
-19.0,1005,142.145125
-21.0,821,146.122327
-21.0,881,150.368226
-21.0,804,154.254671
-19.0,1053,159.813283
-21.0,760,165.467256
-20.0,978,173.054733
-21.0,880,179.936707
-21.0,944,187.25351
-21.0,824,193.692965
-20.0,950,201.028836
