#{"t_start": 1513017049.57602, "env_id": "PongNoFrameskip-v4", "gym_version": "0.9.2"}
r,l,t
-21.0,896,8.058166
-21.0,760,11.732908
-21.0,763,15.40089
-21.0,886,19.71796
-21.0,792,23.541041
-20.0,1010,28.400224
-20.0,904,32.860102
-21.0,820,36.857107
-20.0,958,41.481772
-20.0,929,45.954414
-20.0,890,50.242445
-21.0,760,53.879316
-21.0,787,57.674142
-21.0,851,61.755753
-21.0,786,65.540989
-20.0,991,70.325714
-19.0,1027,75.293367
-21.0,883,79.565739
-21.0,880,83.800945
-19.0,1048,88.861831
-20.0,914,93.248613
-19.0,1181,98.948348
-21.0,1001,103.800719
-20.0,979,108.519225
-17.0,1100,113.815052
-21.0,904,118.172923
-21.0,993,122.935755
-20.0,900,127.282315
-20.0,1073,132.457403
-20.0,918,136.883882
-20.0,904,141.232723
-21.0,789,145.056385
-20.0,925,149.515694
-21.0,758,153.142264
-20.0,949,157.711505
-21.0,985,164.667947
-21.0,761,170.60478
-20.0,907,177.64857
-21.0,791,183.75228
-21.0,780,189.851897
-20.0,934,197.104376
-21.0,996,204.838967
