#{"env_id": "DemonAttackNoFrameskip-v4", "gym_version": "0.9.4", "t_start": 1513094771.6351266}
r,l,t
100.0,813,21.156262
340.0,2165,66.939065
130.0,961,84.105984
60.0,329,90.752126
90.0,478,102.106385
370.0,1800,143.678841
250.0,1850,186.433739
40.0,342,194.274871
140.0,864,214.099366
205.0,1728,253.533372
50.0,251,259.066287
90.0,426,268.566905
110.0,773,286.360283
310.0,3246,361.500061
250.0,2807,426.056179
340.0,1614,463.068993
120.0,978,485.474093
140.0,545,498.132735
70.0,442,508.156709
150.0,1014,531.510161
280.0,1439,565.118196
50.0,441,575.379178
60.0,415,584.812289
40.0,280,591.108182
175.0,2235,642.875175
370.0,1391,674.973916
220.0,1179,701.79917
325.0,1586,738.102875
295.0,1449,771.574016
190.0,832,790.60335
120.0,646,805.307817
60.0,411,814.487288
80.0,531,826.763605
760.0,1723,866.889301
70.0,418,876.593552
175.0,1422,909.675299
70.0,707,925.678004
70.0,356,933.492799
50.0,392,942.349343
190.0,821,961.554499
90.0,1167,988.265021
205.0,1017,1011.449772
50.0,348,1019.296638
140.0,961,1041.3693
205.0,1209,1069.052804
280.0,1039,1092.906532
140.0,861,1112.782465
220.0,1019,1136.230703
140.0,484,1147.226695
265.0,1187,1174.606508
50.0,328,1182.001249
90.0,532,1194.059836
340.0,1917,1237.897873
80.0,589,1251.499531
80.0,902,1272.077254
205.0,1084,1296.846549
120.0,651,1311.611407
130.0,1082,1336.709554
175.0,855,1356.028746
220.0,1101,1381.298805
140.0,741,1398.212078
235.0,792,1416.271042
100.0,685,1432.015545
130.0,877,1452.480464
90.0,593,1466.018118
110.0,531,1478.256353
235.0,1038,1501.861357
235.0,980,1524.120875
235.0,1029,1547.513987
190.0,1242,1576.603679
190.0,1362,1608.011471
110.0,636,1622.359046
100.0,1089,1646.955808
80.0,508,1658.859234
220.0,1000,1682.02097
150.0,656,1696.935306
205.0,823,1715.852716
100.0,438,1725.70824
110.0,490,1736.831425
325.0,1483,1771.170532
110.0,975,1793.296207
220.0,864,1812.980187
295.0,1214,1840.929256
150.0,752,1858.243789
265.0,1152,1884.491964
90.0,388,1893.159051
110.0,876,1913.237538
70.0,684,1928.614549
70.0,449,1938.889469
90.0,639,1953.313719
190.0,585,1966.509057
130.0,1026,1990.044494
250.0,1340,2020.620291
220.0,1059,2045.070307
120.0,461,2055.507855
130.0,532,2067.58778
90.0,463,2077.975913
130.0,1265,2106.86992
80.0,521,2118.711643
175.0,628,2133.198234
120.0,2203,2184.33213
60.0,568,2197.381686
190.0,1252,2226.071784
325.0,954,2247.635308
30.0,336,2255.206891
150.0,1607,2292.040835
50.0,314,2299.122051
280.0,1148,2325.71667
60.0,367,2334.102178
100.0,815,2352.657401
50.0,315,2359.862559
130.0,799,2378.256451
120.0,456,2388.57921
120.0,513,2400.378433
150.0,859,2420.090327
110.0,679,2435.649723
250.0,1172,2462.584743
90.0,535,2474.972318
190.0,829,2493.834803
90.0,669,2509.048284
140.0,545,2521.810334
220.0,1052,2545.739756
100.0,466,2556.631016
100.0,539,2568.847072
120.0,891,2588.830753
265.0,885,2609.073959
30.0,397,2617.998073
160.0,968,2640.522891
140.0,837,2659.443464
280.0,993,2681.89915
80.0,434,2691.621589
120.0,822,2710.407829
100.0,721,2726.760053
120.0,549,2739.249828
265.0,1123,2765.045436
190.0,792,2783.117056
60.0,433,2792.899954
220.0,877,2812.862761
500.0,2051,2860.472935
140.0,636,2875.117527
205.0,1657,2913.440022
205.0,918,2934.25422
120.0,913,2955.308513
265.0,1021,2978.494028
150.0,819,2997.284617
250.0,1318,3027.51483
205.0,1464,3061.520385
50.0,540,3073.907501
130.0,941,3095.567802
220.0,1041,3119.444518
130.0,635,3134.034399
205.0,727,3150.729982
235.0,803,3168.640531
205.0,1037,3192.360052
130.0,709,3208.930806
1280.0,2833,3273.262218
90.0,700,3289.17846
175.0,1081,3313.724251
70.0,398,3322.625133
100.0,458,3333.011012
150.0,803,3351.084492
140.0,509,3362.56711
265.0,1265,3391.145149
130.0,651,3405.738901
310.0,1210,3433.198104
140.0,735,3449.714727
40.0,400,3458.779446
110.0,829,3477.448764
175.0,1239,3505.810499
175.0,800,3523.927536
205.0,984,3546.109991
280.0,1197,3572.682688
90.0,598,3585.954642
265.0,1107,3610.350637
160.0,1748,3649.281827
175.0,1224,3677.077575
140.0,1244,3705.598797
120.0,795,3723.83428
70.0,748,3740.978651
60.0,251,3746.407412
110.0,586,3759.535563
310.0,1349,3790.226683
140.0,622,3804.338705
50.0,454,3814.568696
80.0,725,3830.926
385.0,1415,3863.017076
140.0,676,3877.981079
90.0,702,3893.716769
150.0,625,3908.056165
60.0,425,3917.634815
60.0,390,3926.238508
235.0,935,3947.578728
250.0,985,3969.924653
175.0,1143,3995.67296
150.0,596,4009.072166
110.0,562,4021.771403
325.0,1249,4050.04785
90.0,408,4059.11088
70.0,585,4072.293813
70.0,449,4082.631865
220.0,1326,4112.835274
235.0,1244,4140.673397
295.0,1422,4172.586479
370.0,1788,4213.535234
80.0,560,4226.476126
80.0,690,4242.023983
100.0,829,4261.021935
175.0,923,4282.211947
120.0,691,4297.968418
205.0,898,4318.459507
250.0,1071,4343.256692
90.0,501,4354.587829
340.0,1438,4387.697619
220.0,1326,4418.397109
110.0,571,4431.466247
60.0,412,4440.870318
160.0,860,4460.295269
325.0,1245,4489.283831
80.0,720,4505.994072
190.0,1557,4542.048072
150.0,1074,4566.89723
295.0,1340,4597.481689
130.0,916,4618.543466
310.0,1983,4664.262938
295.0,1375,4695.89257
40.0,419,4705.315486
190.0,824,4723.746936
205.0,826,4742.232408
220.0,894,4762.599463
80.0,440,4772.642635
90.0,1154,4799.256563
110.0,965,4821.538495
175.0,884,4841.69697
220.0,939,4863.417829
250.0,794,4879.865369
175.0,1099,4901.932836
295.0,1339,4928.984177
310.0,1288,4955.118187
20.0,207,4959.1757
280.0,1513,4990.0279
80.0,765,5005.070633
220.0,934,5023.927121
160.0,859,5041.56527
130.0,764,5056.854355
190.0,1132,5079.322147
370.0,1422,5107.869206
100.0,604,5119.809322
110.0,442,5128.62383
40.0,229,5133.072127
140.0,705,5147.353553
160.0,1069,5168.892052
110.0,498,5178.817132
70.0,255,5183.908146
60.0,331,5190.624632
100.0,678,5204.301291
160.0,913,5222.380516
140.0,638,5235.03554
370.0,1689,5269.165598
295.0,1180,5292.864578
140.0,817,5309.305376
190.0,1141,5332.414642
110.0,512,5342.828737
190.0,1030,5363.431862
220.0,1417,5392.610604
520.0,3690,5467.311132
220.0,1053,5488.492505
130.0,848,5505.517454
325.0,1161,5529.056051
160.0,907,5547.319442
370.0,1707,5582.485367
175.0,1125,5605.363502
130.0,719,5619.678672
295.0,1389,5647.99093
250.0,910,5666.44183
120.0,466,5675.649697
740.0,1606,5707.761084
160.0,936,5726.55447
340.0,1333,5752.789284
100.0,416,5761.201483
370.0,1423,5790.781255
250.0,1206,5817.976779
205.0,943,5839.504317
310.0,1741,5878.721734
175.0,1079,5900.690727
140.0,881,5918.151058
110.0,629,5930.833473
205.0,804,5946.69511
130.0,799,5962.395508
220.0,1265,5987.798506
175.0,947,6007.11618
680.0,1787,6043.665122
150.0,858,6060.567443
110.0,677,6074.268721
250.0,977,6093.791528
90.0,600,6105.94368
150.0,733,6120.773836
355.0,1349,6148.25592
90.0,452,6157.359179
295.0,1740,6192.526922
355.0,1542,6223.955271
205.0,934,6242.690534
130.0,781,6258.485172
110.0,717,6272.958497
130.0,901,6290.962831
150.0,703,6305.383255
175.0,830,6321.889175
120.0,1185,6346.027523
140.0,926,6364.638384
140.0,942,6383.545243
80.0,1841,6421.321998
120.0,625,6433.823632
235.0,1076,6455.399554
140.0,563,6466.479969
120.0,595,6478.420658
110.0,647,6491.395565
310.0,1470,6521.411341
280.0,1221,6545.854278
130.0,485,6555.726582
325.0,1310,6582.112324
295.0,1397,6610.224065
500.0,1489,6640.055493
140.0,897,6658.039937
680.0,1690,6691.751401
220.0,865,6709.36466
150.0,937,6728.266522
110.0,529,6738.837095
150.0,697,6752.826228
120.0,661,6766.098125
280.0,1168,6789.245093
110.0,545,6800.231202
680.0,1694,6834.624453
265.0,1453,6863.78985
265.0,1213,6888.088757
70.0,508,6898.349282
175.0,957,6917.726017
160.0,950,6936.715006
175.0,1232,6961.51753
340.0,1492,6991.671714
80.0,597,7003.481808
540.0,1660,7037.252843
325.0,1521,7067.892953
265.0,1335,7094.974922
140.0,1339,7122.144421
325.0,1340,7148.911824
340.0,1154,7171.834284
265.0,1271,7197.678432
205.0,883,7215.485291
325.0,1164,7238.988787
370.0,1499,7268.63337
235.0,983,7288.402936
140.0,628,7300.967772
235.0,1059,7322.379747
1180.0,1718,7357.054319
70.0,449,7366.084151
190.0,1180,7389.980779
110.0,706,7403.858146
295.0,1484,7434.383193
30.0,283,7439.968904
130.0,739,7455.085639
70.0,449,7463.977851
90.0,1120,7486.753428
190.0,866,7504.311755
140.0,614,7516.794357
280.0,1351,7543.664579
205.0,1094,7565.585237
385.0,1495,7595.723709
370.0,1168,7619.347871
175.0,644,7632.237423
190.0,956,7651.464923
420.0,1925,7690.09809
280.0,1129,7713.268639
60.0,434,7721.66231
100.0,877,7739.603588
140.0,751,7754.683764
140.0,628,7767.488185
100.0,685,7781.663583
130.0,930,7800.457211
1140.0,2473,7849.859084
80.0,597,7861.751214
370.0,1318,7888.511541
295.0,1336,7915.778696
130.0,833,7932.859833
190.0,1149,7956.050834
120.0,668,7969.501132
310.0,1421,7998.144063
205.0,970,8017.580041
120.0,909,8035.797005
325.0,1284,8062.195853
265.0,984,8082.162034
140.0,988,8102.089303
340.0,1534,8132.911774
90.0,692,8147.135019
400.0,1769,8182.799052
280.0,1665,8216.932494
280.0,1109,8239.188695
190.0,880,8256.637872
460.0,1753,8291.905227
205.0,985,8311.661173
400.0,1948,8351.158831
220.0,949,8370.135764
220.0,1353,8397.235131
980.0,1856,8434.876043
160.0,868,8452.177971
385.0,1475,8481.813597
325.0,1597,8513.971908
355.0,1162,8537.257913
780.0,1974,8576.857523
295.0,2037,8618.254857
355.0,1179,8642.334737
60.0,445,8651.140542
700.0,1736,8686.783973
110.0,482,8696.448425
325.0,1171,8719.643941
235.0,1019,8740.285845
340.0,1849,8777.472219
355.0,1476,8807.308037
265.0,1125,8829.902523
480.0,1689,8863.798363
680.0,1918,8902.207896
720.0,1929,8941.42153
175.0,1194,8965.907675
190.0,970,8985.568523
280.0,1340,9013.006597
920.0,1612,9046.090803
80.0,668,9059.626885
340.0,1194,9083.737301
340.0,1067,9105.059745
160.0,792,9120.921573
310.0,1218,9145.179074
900.0,1679,9179.429522
325.0,1071,9200.685187
355.0,1464,9229.374575
800.0,1810,9265.510504
355.0,1334,9291.951303
540.0,2040,9332.582271
160.0,773,9348.393182
250.0,1249,9373.731658
265.0,1311,9399.759568
80.0,405,9407.796043
1160.0,1800,9444.319136
340.0,1461,9473.585411
190.0,719,9487.910204
120.0,546,9498.984159
1080.0,1674,9532.728764
540.0,1911,9571.078689
680.0,2105,9613.417285
1280.0,2467,9663.95999
680.0,1769,9699.943034
2080.0,2624,9752.529004
760.0,1513,9783.033941
1040.0,2044,9824.486326
1280.0,1863,9861.786903
205.0,806,9877.927977
295.0,894,9895.910114
80.0,394,9903.570032
175.0,974,9923.255287
1980.0,3152,9987.653446
310.0,1238,10012.527797
175.0,805,10028.613676
370.0,1312,10055.100219
280.0,1792,10091.183175
400.0,1624,10124.472003
1020.0,2253,10169.95742
280.0,1715,10204.46231
310.0,1277,10230.651164
265.0,1049,10252.086378
355.0,1440,10281.171484
1120.0,2050,10323.201464
620.0,1935,10362.206057
280.0,1272,10388.129109
400.0,1481,10417.297379
1940.0,2748,10472.732491
295.0,1191,10496.387106
250.0,979,10515.995938
1420.0,2686,10570.551455
1900.0,2571,10622.920609
500.0,1738,10657.86979
2000.0,2987,10718.461849
1500.0,2465,10768.652998
580.0,1670,10802.282131
700.0,1896,10840.624373
1000.0,2341,10888.347303
680.0,1819,10925.239732
580.0,1857,10962.770881
700.0,2132,11005.75139
370.0,1658,11039.06568
2630.0,3438,11108.415893
1080.0,1700,11142.625224
160.0,767,11157.999811
220.0,891,11176.007193
640.0,1799,11212.859639
700.0,1252,11237.481512
420.0,1554,11268.922951
840.0,2167,11312.642743
420.0,1970,11352.455031
340.0,1470,11382.720363
1120.0,1984,11422.590467
1120.0,1879,11460.248203
420.0,1663,11493.851178
4220.0,4680,11587.915527
500.0,1360,11615.346006
2340.0,2963,11675.415041
400.0,1461,11704.735986
220.0,1032,11725.53639
420.0,1843,11762.747262
190.0,1221,11787.497342
680.0,1517,11818.377233
1400.0,2016,11859.281449
500.0,2189,11903.661298
1320.0,2079,11945.196872
175.0,1320,11971.718816
740.0,1879,12009.530818
1860.0,2499,12059.718042
100.0,557,12070.927071
1960.0,2672,12124.809545
1900.0,2840,12181.801526
700.0,1392,12209.908412
220.0,640,12222.693142
920.0,2043,12264.157156
4180.0,3921,12344.39333
520.0,1375,12371.815514
1340.0,2427,12421.247451
355.0,1805,12457.675429
2040.0,3120,12520.469943
2040.0,2754,12575.849452
1440.0,2712,12630.890638
1980.0,2206,12675.389719
385.0,1299,12701.329048
2700.0,3666,12774.877099
860.0,1779,12810.707314
1040.0,2007,12851.095909
2910.0,3747,12927.131059
1180.0,2045,12968.274018
1840.0,2292,13013.734959
130.0,730,13028.558407
1500.0,2493,13078.96503
1880.0,2676,13132.673359
1120.0,2297,13179.095936
2160.0,2868,13237.069932
3185.0,3337,13304.259378
1020.0,1894,13342.662284
960.0,1786,13378.702938
880.0,2153,13422.100141
1760.0,2244,13467.189101
480.0,1426,13495.672952
2965.0,2976,13555.626644
1320.0,2379,13603.205888
680.0,1692,13636.901482
2080.0,2948,13696.581476
1240.0,1862,13733.811606
355.0,1785,13769.684296
780.0,1652,13802.867125
1580.0,2635,13856.5009
780.0,1960,13896.231224
